Title,Location,Experience,Salary
Robotics Trainer,Hyderabad,0-2 years,"₹ 3,00,000 - 3,60,000"
Business Analyst,Work from home,0-2 years,"₹ 4,00,000 - 6,00,000"
Business Analyst,Noida,1-2 years,"₹ 2,00,000 - 2,50,000"
AI Engineer,Work from home,0-4 years,"₹ 2,40,000 - 4,00,000"
Artificial Intelligence (AI) Executive,Work from home,0-1 years,"₹ 8,00,000 - 12,00,000"
Associate Business Analyst,Ahmedabad,0-3 years,"₹ 3,50,000 - 6,50,000"
Junior Machine Learning Manager,Work from home,3-5 years,"₹ 5,40,000 - 9,00,000"
Data Analytics Associate,Delhi,0-2 years,"₹ 6,00,000 - 9,00,000"
Behavioral Data Scientist,Hyderabad,0 years,"₹ 2,40,000 - 3,00,000"
Business Analyst,Hyderabad,0 years,"₹ 3,00,000 - 3,60,000"
N/A,Hyderabad,N/A,N/A
STEM Robotics Trainer,Delhi,0-2 years,"₹ 2,50,000 - 3,50,000"
Junior Business Analyst,Indore,0 years,"₹ 2,80,000 - 3,00,000"
Data Scientist,Work from home,0-1 years,"₹ 3,00,000 - 5,00,000"
Business Analyst,Delhi,0-2 years,"₹ 4,00,000 - 7,00,000"
Business Analyst,Delhi,0-5 years,"₹ 2,00,000 - 5,00,000"
Coding & Robotics Teacher,Nizamabad,0-5 years,"₹ 2,00,000 - 4,00,000"
Machine Learning Engineer,Work from home,1-4 years,"₹ 5,00,000 - 6,50,000"
Data Engineer,Work from home,1-3 years,"₹ 4,00,000 - 5,00,000"
Business Analyst,Work from home,0-3 years,"₹ 4,00,000 - 5,00,000"
Business Analyst,Gurgaon,1-3 years,"₹ 4,00,000 - 6,00,000"
Analyst - Offer Tracking,Delhi,0-1 years,"₹ 3,00,000 - 3,50,000"
Data Analyst,Gurgaon,1-3 years,"₹ 2,00,000 - 6,00,000"
Data Engineer,Work from home,0-5 years,"₹ 3,00,000 - 5,00,000"
Data Assessment Specialist,Bangalore,0-1 years,"₹ 2,40,000"
Junior Business Analyst,Noida,1-3 years,"₹ 3,60,000 - 4,20,000"
Business Analyst,Indore,1-5 years,"₹ 2,00,000 - 4,00,000"
Big Data Associate,Mumbai,1-2 years,"₹ 3,00,000 - 3,20,000"
Junior Analyst,Work from home,0-2 years,"₹ 2,40,000"
Data Analyst,Gurgaon,0-1 years,"₹ 2,64,000 - 3,00,000"
Python Developer,Hyderabad,0-1 years,"₹ 2,00,000 - 2,50,000"
Research Associate - Content Writer For Computer Science And Engineering,Hyderabad,0-5 years,"₹ 2,00,000 - 2,50,000"
Data And Reporting Analyst,Noida,1-3 years,"₹ 2,00,000 - 3,00,000"
Data Analytics Executive,Patiala,0-1 years,"₹ 2,00,000 - 3,00,000"
Data Analytics Specialist,Work from home,1-5 years,"₹ 2,00,000 - 3,00,000"
Software Trainer,Salem,0-2 years,"₹ 2,00,000 - 3,00,000"
Data Analytics Specialist,Work from home,1-5 years,"₹ 2,00,000 - 3,60,000"
Data Analytics Specialist,Mumbai,1 year,"₹ 3,00,000 - 5,00,000"
Business Analyst,Work from home,0-4 years,"₹ 2,00,000 - 3,00,000"
Cofounder,Work from home,0-3 years,"₹ 2,00,000 - 3,00,000"
Business Analyst,Gurgaon,1-3 years,"₹ 2,00,000 - 2,00,001"
